date       ;  meter ;  name 
2020-10-31 ;  15001 ;  The Nameless Vikings
2020-10-31 ;   3600 ;  The Nameless Vikings
2020-10-31 ;   5012 ;  The Nameless Vikings
2020-10-31 ;  10011 ;  The Nameless Vikings
2020-10-31 ;   2000 ;  The Nameless Vikings
2020-10-31 ;   5125 ;  The Nameless Vikings
2020-10-31 ;   5013 ;  The Nameless Vikings
2020-10-31 ;   5000 ;  The Nameless Vikings
2020-10-31 ;   2500 ;  The Nameless Vikings
2020-10-31 ;   2500 ;  The Nameless Vikings
2020-10-31 ;  21935 ;  The Nameless Vikings
2020-11-01 ;   5017 ;  The Nameless Vikings
2020-11-01 ;   5014 ;  The Nameless Vikings
2020-11-01 ;   4282 ;  The Nameless Vikings
2020-11-01 ;   4442 ;  The Nameless Vikings
2020-11-01 ;   5228 ;  The Nameless Vikings
2020-11-01 ;   5528 ;  The Nameless Vikings
2020-11-01 ;   5892 ;  The Nameless Vikings
2020-11-01 ;  10035 ;  The Nameless Vikings
2020-11-01 ;  20000 ;  The Nameless Vikings
2020-11-01 ;   6316 ;  The Nameless Vikings
2020-11-01 ;  15845 ;  The Nameless Vikings
2020-11-01 ;   5002 ;  The Nameless Vikings
2020-11-01 ;   5458 ;  The Nameless Vikings
2020-11-01 ;  15004 ;  The Nameless Vikings
2020-11-01 ;   3953 ;  The Nameless Vikings
2020-11-01 ;   6024 ;  The Nameless Vikings
2020-11-01 ;   9799 ;  The Langturstyrmand
2020-11-01 ;   8203 ;  The Nameless Vikings





